% time	cellId	IMSI	RNTI	sinrLinear
0.041	1	1	1	3168.56
0.081	1	1	1	3171.51
0.121	1	1	1	3174.45
0.161	1	1	1	3177.36
0.201	1	1	1	3180.26
0.241	1	1	1	3183.13
0.281	1	1	1	3185.99
0.321	1	1	1	3188.83
0.361	1	1	1	3191.65
0.401	1	1	1	3194.45
0.441	1	1	1	3197.23
0.481	1	1	1	3199.99
0.521	1	1	1	3202.74
0.561	1	1	1	3205.46
0.601	1	1	1	3208.16
0.641	1	1	1	3210.84
0.681	1	1	1	3213.5
0.721	1	1	1	3216.15
0.761	1	1	1	3218.77
0.801	1	1	1	3221.37
0.841	1	1	1	3223.95
0.881	1	1	1	3226.51
0.921	1	1	1	3229.05
0.961	1	1	1	3231.57
1.001	1	1	1	3234.07
1.041	1	1	1	3236.54
1.081	1	1	1	3239
1.121	1	1	1	3241.43
1.161	1	1	1	3243.85
1.201	1	1	1	3246.24
1.241	1	1	1	3248.61
1.281	1	1	1	3250.96
1.321	1	1	1	3253.28
1.361	1	1	1	3255.59
1.401	1	1	1	3257.87
1.441	1	1	1	3260.13
1.481	1	1	1	3262.37
1.521	1	1	1	3264.58
1.561	1	1	1	3266.78
1.601	1	1	1	3268.95
1.641	1	1	1	3271.1
1.681	1	1	1	3273.22
1.721	1	1	1	3275.33
1.761	1	1	1	3277.41
1.801	1	1	1	3279.46
1.841	1	1	1	3281.5
1.881	1	1	1	3283.51
1.921	1	1	1	3285.5
1.961	1	1	1	3287.46
2.001	1	1	1	3289.4
2.041	1	1	1	3291.32
2.081	1	1	1	3293.22
2.121	1	1	1	3295.09
2.161	1	1	1	3296.93
2.201	1	1	1	3298.76
2.241	1	1	1	3300.56
2.281	1	1	1	3302.33
2.321	1	1	1	3304.08
2.361	1	1	1	3305.81
2.401	1	1	1	3307.51
2.441	1	1	1	3309.19
2.481	1	1	1	3310.85
2.521	1	1	1	3312.47
2.561	1	1	1	3314.08
2.601	1	1	1	3315.66
2.641	1	1	1	3317.22
2.681	1	1	1	3318.75
2.721	1	1	1	3320.25
2.761	1	1	1	3321.74
2.801	1	1	1	3323.19
2.841	1	1	1	3324.62
2.881	1	1	1	3326.03
2.921	1	1	1	3327.41
2.961	1	1	1	3328.77
3.001	1	1	1	3330.1
3.041	1	1	1	3331.4
3.081	1	1	1	3332.69
3.121	1	1	1	3333.94
3.161	1	1	1	3335.17
3.201	1	1	1	3336.37
3.241	1	1	1	3337.55
3.281	1	1	1	3338.7
3.321	1	1	1	3339.83
3.361	1	1	1	3340.93
3.401	1	1	1	3342.01
3.441	1	1	1	3343.05
3.481	1	1	1	3344.08
3.521	1	1	1	3345.07
3.561	1	1	1	3346.05
3.601	1	1	1	3346.99
3.641	1	1	1	3347.91
3.681	1	1	1	3348.8
3.721	1	1	1	3349.67
3.761	1	1	1	3350.51
3.801	1	1	1	3351.32
3.841	1	1	1	3352.11
3.881	1	1	1	3352.87
3.921	1	1	1	3353.61
3.961	1	1	1	3354.32
4.001	1	1	1	3355
4.041	1	1	1	3355.65
4.081	1	1	1	3356.28
4.121	1	1	1	3356.88
4.161	1	1	1	3357.46
4.201	1	1	1	3358.01
4.241	1	1	1	3358.53
4.281	1	1	1	3359.03
4.321	1	1	1	3359.5
4.361	1	1	1	3359.94
4.401	1	1	1	3360.35
4.441	1	1	1	3360.74
4.481	1	1	1	3361.11
4.521	1	1	1	3361.44
4.561	1	1	1	3361.75
4.601	1	1	1	3362.03
4.641	1	1	1	3362.29
4.681	1	1	1	3362.51
4.721	1	1	1	3362.71
4.761	1	1	1	3362.89
4.801	1	1	1	3363.04
4.841	1	1	1	3363.16
4.881	1	1	1	3363.25
4.921	1	1	1	3363.32
4.961	1	1	1	3363.36
5.001	1	1	1	3363.37
5.041	1	1	1	3363.36
5.081	1	1	1	3363.31
5.121	1	1	1	3363.25
5.161	1	1	1	3363.15
5.201	1	1	1	3363.03
5.241	1	1	1	3362.88
5.281	1	1	1	3362.71
5.321	1	1	1	3362.5
5.361	1	1	1	3362.27
5.401	1	1	1	3362.02
5.441	1	1	1	3361.74
5.481	1	1	1	3361.43
5.521	1	1	1	3361.09
5.561	1	1	1	3360.73
5.601	1	1	1	3360.34
5.641	1	1	1	3359.92
5.681	1	1	1	3359.48
5.721	1	1	1	3359
5.761	1	1	1	3358.51
5.801	1	1	1	3357.98
5.841	1	1	1	3357.43
5.881	1	1	1	3356.86
5.921	1	1	1	3356.25
5.961	1	1	1	3355.62
6.001	1	1	1	3354.97
6.041	1	1	1	3354.28
6.081	1	1	1	3353.57
6.121	1	1	1	3352.84
6.161	1	1	1	3352.07
6.201	1	1	1	3351.29
6.241	1	1	1	3350.47
6.281	1	1	1	3349.63
6.321	1	1	1	3348.76
6.361	1	1	1	3347.87
6.401	1	1	1	3346.95
6.441	1	1	1	3346
6.481	1	1	1	3345.03
6.521	1	1	1	3344.03
6.561	1	1	1	3343.01
6.601	1	1	1	3341.96
6.641	1	1	1	3340.88
6.681	1	1	1	3339.78
6.721	1	1	1	3338.65
6.761	1	1	1	3337.5
6.801	1	1	1	3336.32
6.841	1	1	1	3335.11
